Providers Name,Address,City,County,Doses
Kerrville State Hospital,721 Thompson Dr,Kerrville,KERR,600
Peterson Regional Medical Center - Kerrville,551 Hill Country Dr,Kerrville,KERR,500
TRUBI1 LLC,200 WESLEY DR UNIT A,Kerrville,KERR,100
Frontera Healthcare Network-Junction,509 College St,Junction,KIMBLE,100
Christus Spohn Health System Kleberg,1311 General Cavazos Blvd,Kingsville,KLEBERG,200
Heb Pharmacy 401,409 E Kleberg,Kingsville,KLEBERG,100
Knox City Clinic,712 Se 5th St,Knox City,KNOX,100
Brookshires Pharmacy 014,925 Clarksville St,Paris,LAMAR,100
Kroger Pharmacy 957,1310 Clarksville St,Paris,LAMAR,500
Paris Regional Medical Center,865 Deshong Dr,Paris,LAMAR,600
Brookshires Pharmacy 74 - Hallettsville,1514 N Texana St,Hallettsville,LAVACA,300
Lavaca Family Health Clinic,1406 North Texana,Hallettsville,LAVACA,300
Brookshires Pharmacy 37,513 E Austin St,Giddings,LEE,300
Brookshires Pharmacy 54 - Buffalo,1220 W Commerce,Buffalo,LEON,100
Brookshires Pharmacy 26,1117 N Main St,Jewett,LEON,100
Brookshires Pharmacy 16,603 E Houston St,Cleveland,LIBERTY,500
Brookshires Pharmacy 43,403 E Highway 90,Dayton,LIBERTY,200
Brookshires Pharmacy 51 - Liberty,2325 N Main St,Liberty,LIBERTY,500
Rettig Family Health,204 W Trinity St,Groesbeck,LIMESTONE,100
Heb Pharmacy 467,701 E Milam St,Mexia,LIMESTONE,100
Clarx Hub City Pharmacy,3716 22nd Street,Lubbock,LUBBOCK,100
Combest Central Health Center,2424 50th St Ste 50,Lubbock,LUBBOCK,300
Covenant Children Hospital,4015 22nd Pl,Lubbock,LUBBOCK,700
Covenant Health Pharmacy,3615 19th St MS 108,Lubbock,LUBBOCK,400
Covenant Healthplus,7601 Quaker Ave-Suite 100,Lubbock,LUBBOCK,500
COVENANT MEDICAL GROUP,9812 SLIDE ROAD,Lubbock,LUBBOCK,3000
Covenant Medical Group-Northwest Clinic,611 N Frankford Ave,Lubbock,LUBBOCK,400
Familyfirst Healthcare,5915 82nd St,Lubbock,LUBBOCK,400
Grace Clinic of Lubbock,4515 Marsha Sharp Fwy,Lubbock,LUBBOCK,2100
HEB Pharmacy 772,4405 114th Street,Lubbock,LUBBOCK,100
KingsPark Urgent Care Center,7501 Quaker Ave,Lubbock,LUBBOCK,900
Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,1000
Lubbock Heart Hospital,4810 N Loop 289,Lubbock,LUBBOCK,500
Market Street Pharmacy 553,4425 19th St,Lubbock,LUBBOCK,900
South Plains Rehabilitation Hospital,5406 Colgate St,Lubbock,LUBBOCK,100
Texas Department of Criminal Justice MONTFORD,8602 Peach,Lubbock,LUBBOCK,400
Texas Tech University Health Science Center Immunization Off3601 4th St Ms 8150,,Lubbock,LUBBOCK,3000
Ttuhsc Pharmacy,3601 4th Street 1a150,Lubbock,LUBBOCK,1100
United Pharmacy 505,401 Slide Rd,Lubbock,LUBBOCK,200
United Pharmacy 506,1701 50th St,Lubbock,LUBBOCK,300
United Pharmacy 555,12815 Indiana Ave,Lubbock,LUBBOCK,400
VITALANT,2523 48th Street,Lubbock,LUBBOCK,200
Brookshires Pharmacy 1005,810 S State St,Madisonville,MADISON,100
Brookshires Pharmacy 30 - Madisonville,403 E Main St,Madisonville,MADISON,100
Frontera Healthcare Network Mason Clinic,216 E College,Mason,MASON,100
Dshs Hsr 6/5s-Bay City,1700 Merlin St,Bay City,MATAGORDA,500
Heb Pharmacy 292,2700 7th St,Bay City,MATAGORDA,100
Matagorda Regional Medical Center,104 7th Street,Bay City,MATAGORDA,500
El Indio Hwy Clinic,4018 El Indio Hwy,Eagle Pass,MAVERICK,100
Heb Pharmacy 419,2135 E Main,Eagle Pass,MAVERICK,100
Maverick County Hospital District,3406 Bob Rogers Dr Ste 290,Eagle Pass,MAVERICK,300
Dshs Phr 9/10 Brady,1004 S Bridge St,Brady,MCCULLOCH,100
Brookshires Pharmacy 63 - Lorena,406 N Frontage Rd,Lorena,MCLENNAN,500
Brookshires Pharmacy 68 - Mcgregor,1250 W Mcgregor Dr,McGregor,MCLENNAN,300
Baylor University Student Health Services,209 Speight Ave Fl 2,Waco,MCLENNAN,200
Brookshires Pharmacy 90,100 Peplow Dr,Waco,MCLENNAN,100
Heb Pharmacy 423,1301 Wooded Acres Dr,Waco,MCLENNAN,100
HEB Pharmacy 557,801 Ih 35 N,Waco,MCLENNAN,100
HEB Pharmacy 583,9100 Woodway Dr,Waco,MCLENNAN,100
HEB Pharmacy 64,3801 N 19th St,Waco,MCLENNAN,100
Heb Pharmacy 672,1821 South Valley Mills Dr,Waco,MCLENNAN,100
Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,Waco,MCLENNAN,200
Lynns Lavega Pharmacy,2401 E Waco Dr,Waco,MCLENNAN,200
Premier ER & Urgent Care,900 Austin Ave,Waco,MCLENNAN,100
Premier ER Waco,221 N Jack Kultgen Expy,Waco,MCLENNAN,100
Providence Lakeshore,2100 Lake Shore Dr,Waco,MCLENNAN,100
South 18th Community and Dental Clinic,1800 Gurley Ln,Waco,MCLENNAN,100
Waco Center for Youth,3501 N. 19th St.,Waco,MCLENNAN,300
Heb Pharmacy 424,609 19th St,Hondo,MEDINA,100
HEB Pharmacy 382,3325 W Wadley Ave,Midland,MIDLAND,100
HEB Pharmacy 717,5407 Andrews Hwy,Midland,MIDLAND,100
NSMD Medical PLLC,4410 NORTH Midkiff,Midland,MIDLAND,500
Brookshires Pharmacy 19 - Rockdale,725 W Cameron Ave,Rockdale,MILAM,300
Milam Co Health Depart Rockdale,313 N Main Street,Rockdale,MILAM,100
Mills County Medical Clinic - Mills county,1510 Hanna Valley Rd,Goldthwaite,MILLS,100
Mitchell County Hospital,997 W I20,Colorado City,MITCHELL,300
CHI ST LUKES HEALTH WOODLANDS HOSP,17200 ST LUKES WAY,Conroe,MONTGOMERY,2000
CHI St. Luke's Lakeside Hospital,17400 St. Luke's Way,Conroe,MONTGOMERY,500
Conroe Regional Medical Center,504 Medical Center Blvd,Conroe,MONTGOMERY,900
Family Life Medical,508 Medical Center Blvd,Conroe,MONTGOMERY,500
HEB Pharmacy 595,2108 North Frazier,Conroe,MONTGOMERY,100
HEB Pharmacy 638,3601 Fm 1488 Rd,Conroe,MONTGOMERY,100
Heb Pharmacy 660,3575 West Davis St,Conroe,MONTGOMERY,100
HEB Pharmacy 757,10200 Hwy 242,Conroe,MONTGOMERY,100
Houston Methodist The Woodlands Hsptl,17201 Interstate 45 S,Conroe,MONTGOMERY,900
Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,100
"America's ER Site 001, LLC",32784 FM 2978 RD,Magnolia,MONTGOMERY,400
Brookshires Pharmacy 48,18535 Fm 1488,Magnolia,MONTGOMERY,500
HEB Pharmacy 722,7988 Fm 1488 Rd,Magnolia,MONTGOMERY,100
Magnolia Pharmacy,18230 Fm 1488 Rd Ste 100,Magnolia,MONTGOMERY,500
Brookshires Pharmacy 73 - Montgomery,21005 Eva St,Montgomery,MONTGOMERY,500
Kelsey Seybold Kingwood,25553 U.S. Highway 59,Porter,MONTGOMERY,600
HEB Pharmacy 564,130 Sawdust Rd,Spring,MONTGOMERY,100
HEB Pharmacy 579,9595 Six Pines Rd,Spring,MONTGOMERY,100
HEB Pharmacy 594,10777 Kuykendahl Rd,Spring,MONTGOMERY,100
HEB Pharmacy 705,3540 Rayford Rd,Spring,MONTGOMERY,100
Memorial Hermann Medical Group Sterling Ridge,10333 Kuykendahl Rd Ste D,Spring,MONTGOMERY,500
Village Medical Center At Alden Bridge,8000 Research Forest Dr Ste 360,Spring,MONTGOMERY,500
Moore County Family Health Clinic,110 S Bliss Ave,Dumas,MOORE,200
Brookshires Pharmacy 109,609 Linda Dr,Daingerfield,MORRIS,100
Brookshires Pharmacy 2,1216 South St,Nacogdoches,NACOGDOCHE,200
Brookshires Pharmacy 42,1420 N University Dr,Nacogdoches,NACOGDOCHE,500
Nacogdoches Med Cntr Hsptl Phrmcy,4920 Ne Stallings Dr,Nacogdoches,NACOGDOCHE,700
Nacogdoches Memorial Hospital,1204 N Mound St,Nacogdoches,NACOGDOCHE,1000
Brookshires Pharmacy 77,800 N Main St Ste A,Corsicana,NAVARRO,100
Heb Pharmacy 238,201 S 15th St,Corsicana,NAVARRO,100
Navarro Regional Hospital,3201 W State Highway 22,Corsicana,NAVARRO,600
Super 1 Pharmacy 630,100 N 15th St,Corsicana,NAVARRO,100
Brookshires Pharmacy 14 - Newton,701 W Court St,Newton,NEWTON,100
Brookshires Pharmacy 117,501 E Broadway St,Sweetwater,NOLAN,100
Amistad Community Health Center,1533 S Brownlee Blvd Ste 100,Corpus Christi,NUECES,1300
Christus Spohn Health System South,5950 Saratoga Blvd,Corpus Christi,NUECES,800
Corpus Christi Fire Department,2406 Leopard St,Corpus Christi,NUECES,600
Corpus Christi Medical Associates,6200 Saratoga Blvd Unit 5,Corpus Christi,NUECES,500
Corpus Christi Nueces Co Pub Hlth Dis,1702 Horne Road,Corpus Christi,NUECES,100
Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,1000
Dshs Mobile Nurse Corpus,5155 Flynn Pkwy Ste 419,Corpus Christi,NUECES,100
HEB Pharmacy 139,5801 Weber Rd,Corpus Christi,NUECES,100
HEB Pharmacy 184,11158 Leopard St,Corpus Christi,NUECES,100
HEB Pharmacy 210,4320 S Alameda St,Corpus Christi,NUECES,100
Heb Pharmacy 253,3500 Leopard St,Corpus Christi,NUECES,100
Heb Pharmacy 270,5425 S Padre Island,Corpus Christi,NUECES,100
Heb Pharmacy 413,3133 South Alameda,Corpus Christi,NUECES,100
Heb Pharmacy 462,3033 S Port Ave,Corpus Christi,NUECES,100
HEB Pharmacy 57,1145 Waldron Rd,Corpus Christi,NUECES,100
Heb Pharmacy 643,4444 Kostoryz Rd,Corpus Christi,NUECES,100
HEB Pharmacy 69,5313 Saratoga Blvd,Corpus Christi,NUECES,100
Promptu Immediate Care- La Palmera,4938 S Staples St,Corpus Christi,NUECES,500
South Tx Family Plannng And Health Corp - Robstown,515 Pat Shutter St Apt 121,Robstown,NUECES,500
Family Health Center - Perryton,3019 S Main St,Perryton,OCHILTREE,100
Brookshires Pharmacy 270,1380 N Main St,Vidor,ORANGE,200
Brookshires Pharmacy 8 - Carthage,412 W Panola St,Carthage,PANOLA,500
Aledo Family Medicine,317 FM 1187 North,Aledo,PARKER,500
Brookshires Pharmacy 97,5118 E. I-20 Service Road-South,Aledo,PARKER,100
Brookshires Pharmacy 126,Po Box 587,Springtown,PARKER,100
"Gene McDaniel D.O., P.A",308 west hwy 199,Springtown,PARKER,500
Brookshires Pharmacy 119,601 Palo Pinto St,Weatherford,PARKER,100
Heb Pharmacy 752,100 Hudson Oaks Dr,Weatherford,PARKER,100
Medical City Weatherford,713 E Anderson St,Weatherford,PARKER,700
Friona Rural Health Clinic,1307 Cleveland Ave Ste B,Friona,PARMER,100
PECOS COUNTY MEMORIAL HOSPITAL DBA FAMILY CARE CEN 387 W IH 10,,Fort Stockton,PECOS,500
Brookshires Pharmacy 24,100 S Home St,Corrigan,POLK,100
Brookshires Pharmacy 21,1253 W Church St,Livingston,POLK,500
Chi St Lukes Health Memorial Livingston,1717 Highway 59 Loop N,Livingston,POLK,300
Brookshires Pharmacy 71,14981 Old Trinity Rd,Onalaska,POLK,200
Amarillo Medical Specialists Llp,1215 S Coulter St Ste 400,Amarillo,POTTER,300
Bsa Health System,1600 Wallace Blvd,Amarillo,POTTER,2500
LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,3000
Texas Department of Criminal Justice CLEMENTS,9601 Spur 591,Amarillo,POTTER,100
Texas Tech Family Medicine,1400 S Coulter St # 5100,Amarillo,POTTER,500
Texas Tech Pediatrics - Amarillo,1400 S Coulter St Ste 100,Amarillo,POTTER,2500
United Pharmacy 523,5601 W Amarillo Blvd,Amarillo,POTTER,300
United Pharmacy 526,2530 S Georgia St,Amarillo,POTTER,200
United Pharmacy 533,3400 River Rd,Amarillo,POTTER,100
Womens and child healthcare CNTR,1411 Amarillo Blvd East,Amarillo,POTTER,100
Brookshires Pharmacy 4,959 East Us Hwy 69,Emory,RAINS,100
Hillside Family Health Clinic Pa,7130 Bell St,Amarillo,RANDALL,500
Joy Medical Clinic,4310 S. Western Ste. E,Amarillo,RANDALL,500
United Pharmacy 529,5807 Sw 45th Ave Ste 100,Amarillo,RANDALL,500
United Pharmacy 532,201 N 23rd St,Canyon,RANDALL,300
Refugio County Memorial Hospital District,107 Swift St,Refugio,REFUGIO,300
Brookshires Pharmacy 13 - Hearne,400 W 2nd St,Hearne,ROBERTSON,200
"Healthcare Associates of Irving, LLP",6435 South FM 549,Rockwall,ROCKWALL,100
Sandknop Health Group,1005 W. Ralph Hall Pkwy,Rockwall,ROCKWALL,500
Baylor Scott And White Medical Center - Lake Pointe,6800 Scenic Dr,Rowlett,ROCKWALL,700
Ballinger Hospital Clinic,2001 Hutchins Ave Ste C,Ballinger,RUNNELS,200
Brookshires Pharmacy 56,420 N Hill St,Tatum,RUSK,200
Brookshires Pharmacy 1020,2075 Worth St,Hemphill,SABINE,500
Brookshires Pharmacy 28 - San Augustin,705 W Columbia St,San Augustine,SAN AUGUSTIN,300
Brookshires Pharmacy 72 - Coldspring,14761 Hwy 150 West,Coldspring,SAN JACINTO,100
Providence Family Care,21 Alpine St,Coldspring,SAN JACINTO,100
Heb Pharmacy 333,101 E Goodnight Ave,Aransas Pass,SAN PATRICIO,100
HEB Pharmacy 488,1600 Wildcat Dr,Portland,SAN PATRICIO,100
Baylor Scott and White Healthcare,2005 W. Wallace,San Saba,SAN SABA,100
Schleicher County Family Clinic,100 N Us Highway 277,Eldorado,SCHLEICHER,100
"Aurora Concepts, PLLC",233 Hurst Street,Center,SHELBY,100
Brookshires Pharmacy 32 - Center,105 Hurst St,Center,SHELBY,300
Hope Community Medicine-Center,620 Tenaha St,Center,SHELBY,100
Brookshires Pharmacy 70,213 Doctor M Roper Pkwy N,Bullard,SMITH,100
Brookshires Pharmacy 039,20100 Hwy. 155 S.,Flint,SMITH,100
Brookshires Pharmacy 3,521 S MAIN,Lindale,SMITH,100
Eagle Pharmacy,1404 S Main St,Lindale,SMITH,500
Brookshires Pharmacy 028,2734 E 5th St,Tyler,SMITH,100
Brookshires Pharmacy 51,100 Rice Rd,Tyler,SMITH,100
Brookshire's Pharmacy 9,2020 Roseland Blvd,Tyler,SMITH,100
Christus Trinity Clinic,520 E. Douglas Blvd,Tyler,SMITH,2100
"Heaton Ear, Nose and Throat",1136 E Grande Blvd,Tyler,SMITH,500
Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,1000
Super 1 Pharmacy 605,3828 Troup Hwy,Tyler,SMITH,100
Super 1 Pharmacy 610,1105 E Gentry Pkwy,Tyler,SMITH,100
Super 1 Pharmacy 625,113 N Northwest Loop 323,Tyler,SMITH,100
Super 1 Pharmacy 642,172 Centennial Pkwy,Tyler,SMITH,100
Brookshires Pharmacy 61,Po Box 498,Whitehouse,SMITH,100
Dshs Rio Grande City,608 N Garza St,Rio Grande City,STARR,200
Family Health Center Llp,2768 Pharmacy Rd,Rio Grande City,STARR,100
Family Medical And Specialty Clinic,2790 Pharmacy Rd Ste B,Rio Grande City,STARR,100
HEB Pharmacy 013,4031 E Us Highway 83,Rio Grande City,STARR,100
Valley Health Clinic,2542 Central Palm Drive,Rio Grande City,STARR,100
Roma Family Health Clinic - Roma 1,640 E Bravo Blvd # 110397,Roma,STARR,100
Stonewall Memorial Hospital,821 N Broadway St,Aspermont,STONEWALL,100
Arlington Fire Department,620 W Division St.,Arlington,TARRANT,3000
Baylor Orthopedic And Spine Hospital At Arlington,707 Highlander Blvd,Arlington,TARRANT,200
CAREPARTH HEALTHCARE SYSTEM LLP,720 WEST NATHAN LOWE SUITE 100,Arlington,TARRANT,500
Clinicas Mi Doctor - Arlington,941 E Park Row Dr,Arlington,TARRANT,500
"Healthcare Associates of Irving, LLP",6201 Matlock Rd,Arlington,TARRANT,100
Jps Se Tarrant County Med Home,1050 W Arkansas Ln Ste 150,Arlington,TARRANT,2400
Kroger Pharmacy 851,2210 S Fielder Rd,Arlington,TARRANT,200
Southeast Public Health Center,536 W Randol Mill Rd,Arlington,TARRANT,100
Brookshires Pharmacy 125,511 N Stewart St,Azle,TARRANT,100
"Healthcare Associates of Irving, LLP",1305 Airport Fwy,Bedford,TARRANT,200
Savon 4279,833 N E Alsbury Blvd,Burleson,TARRANT,200
"Healthcare Associates Of Irving, LLP",910 N. Main St,Euless,TARRANT,200
Jps Northeast Chc,3200 W Euless Blvd,Euless,TARRANT,1800
Swiftcare Urgent Care,1201 N Main St,Euless,TARRANT,1000
Diabetes and Thyroid Center of Fort Worth,7801 Oakmont Blvd,Fort Worth,TARRANT,500
Global Rehab - Fort Worth,6601 Harris Parkway,Fort Worth,TARRANT,100
"James Haden, Md",1000 College Ave,Fort Worth,TARRANT,500
JPS Occupational Health,1350 South Main Street,Fort Worth,TARRANT,2500
Jps Stop Six Clinic,3301 Stalcup Rd,Fort Worth,TARRANT,400
La Gran Plaza Health Center,1101 S. Main St.,Fort Worth,TARRANT,200
Medical Center Alliance,3101 N Tarrant Pkwy,Fort Worth,TARRANT,700
Medical City Fort Worth,900 8th Ave,Fort Worth,TARRANT,900
Mi Doctor #7,4200 South Fwy Ste 106,Fort Worth,TARRANT,500
Passport Health,5608 Malvey Ave,Fort Worth,TARRANT,500
Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,3000
Tarrant Co Ph Watauga Health,6601 Watauga Rd,Fort Worth,TARRANT,900
Texas Centers for Infectious Disease Associates,1025 College Ave,Fort Worth,TARRANT,100
Texas Christian University Health Center,2825 Stadium Dr,Fort Worth,TARRANT,100
The Center For Cancer And Blood Disorders,800 W Magnolia Ave,Fort Worth,TARRANT,100
Wise Health Surgical Hospital at Parkway,3000 N Tarrant Parkway,Fort Worth,TARRANT,200
CareFlite,3110 S Great Southwest Pkwy,Grand Prairie,TARRANT,700
"Healthcare Associates of Irving, LLP",1205 Avondale Haslet Rd,Haslet,TARRANT,100
"MidCities Pharmacy, Inc.",2000 Precinct Line Rd,Hurst,TARRANT,200
"Healthcare Associates of Irving, LLP",221 Regency Pkwy,Mansfield,TARRANT,200
Mansfield Urgent Care And Family Practice,1811 Highway 287 N Ste 150,Mansfield,TARRANT,1000
Market Street Pharmacy #696,3145 E Broad Street,Mansfield,TARRANT,100
Glenview Professional Pharmacy - Richland Hills - 7640 Glenvie7640 Glenview Dr Ste A,,North Richland Hi,TARRANT,100
North Hills Family Practice N Richland Hills,4351 Booth Calloway Rd Ste 101,North Richland Hi,TARRANT,500
"Healthcare Associates of Irving, LLP",1001 W Southlake Blvd,Southlake,TARRANT,200
Abilene Diagnostic Clinic - Abilene - Antilley,1665 Antilley Road,Abilene,TAYLOR,400
HEB Pharmacy 0070,1345 Barrow St,Abilene,TAYLOR,100
Lhd Abilene-Taylor County Health Department (Re),850 N 6th St,Abilene,TAYLOR,600
United Pharmacy #548,3301 South 14th Street,Abilene,TAYLOR,300
Brownfield Regional Med Ctr Rural Hlth,703 E Felt St,Brownfield,TERRY,200
Brownfield Regional Medical Center,705 E Felt St,Brownfield,TERRY,300
United Pharmacy 536,1401 Tahoka Rd,Brownfield,TERRY,100
Super 1 Pharmacy 611,602 S Jefferson Ave,Mount Pleasant,TITUS,100
Titus Regional Medical Center,2001 North Jefferson,Mount Pleasant,TITUS,700
HEB Pharmacy 52,3301 Sherwood Way,San Angelo,TOM GREEN,100
HEB Pharmacy 734,5502 Sherwood Way,San Angelo,TOM GREEN,100
38th Street Pharmacy,711 WEST 38TH STREET C-3,Austin,TRAVIS,200
Ascension Seton Northwest,11113 Research Blvd,Austin,TRAVIS,700
Ascension Seton Southwest,7900 FM 1826,Austin,TRAVIS,200
AUSTIN EAR NOSE AND THROAT CLINIC,3705 Medical Pkwy,Austin,TRAVIS,500
AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,Austin,TRAVIS,500
"Austin Family Allergy & Asthma, PA",10801-2 N. Mopac Expwy,Austin,TRAVIS,100
Austin Public Health,15 Waller Street,Austin,TRAVIS,1000
Austin Public Safety Wellness Center,517 S Pleasant Valley Rd,Austin,TRAVIS,1300
Austin Radiological Association,12554 Riata Vista Circle,Austin,TRAVIS,500
Austin Regional Clinic - Anderson Mill,10401 Anderson Mill Rd Ste 110b,Austin,TRAVIS,500
Austin Regional Clinic - Far West,6835 Austin Center Blvd,Austin,TRAVIS,300
Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,Austin,TRAVIS,500
Austin Regional Clinic - South,3828 S 1st St,Austin,TRAVIS,300
BSW Medical Center Austin,5245 W Highway 290,Austin,TRAVIS,900
BSW Medical Center Lakeway,100 Medical Pkwy,Austin,TRAVIS,1100
Capital Medical Clinic,1301 W 38th St,Austin,TRAVIS,500
"Central Texas Rehabilitation Hospital, LLC",700 W. 45th Street,Austin,TRAVIS,600
Code 4 Emergency Services,1901 E 51st Street,Austin,TRAVIS,1000
Communitycare North Central,1210 W Braker Ln,Austin,TRAVIS,1900
Communitycare- South Austin,2529 S 1st St,Austin,TRAVIS,100
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,Austin,TRAVIS,1000
Family Wellness Clinic Ut Austin School Of Nursing,2901 N Interstate 35 Ste 1.301,Austin,TRAVIS,200
"First Medical Response of Texas, Inc",854 Wild Rose Drive,Austin,TRAVIS,1000
Heart Hospital Of Austin,3801 N Lamar Blvd,Austin,TRAVIS,400
HEB Pharmacy 161,7112 Ed Bluestein Blvd Ste 125,Austin,TRAVIS,100
HEB Pharmacy 183,9414 N Lamar Blvd,Austin,TRAVIS,100
HEB Pharmacy 202,5808 Burnet Rd,Austin,TRAVIS,100
HEB Pharmacy 218,12407 N Mopac,Austin,TRAVIS,100
Heb Pharmacy 225,7010 Hwy 71 W,Austin,TRAVIS,100
Heb Pharmacy 227,2110 New Slaughter Lane,Austin,TRAVIS,100
Heb Pharmacy 229,6607 S Interstate 35,Austin,TRAVIS,100
HEB Pharmacy 24,11521 North Fm 620,Austin,TRAVIS,100
Heb Pharmacy 269,10710 Research Blvd,Austin,TRAVIS,100
HEB Pharmacy 29,701 S Capital Of Texas Hwy Ste D470,Austin,TRAVIS,100
Heb Pharmacy 388,6001 W Parmer Lane,Austin,TRAVIS,100
Heb Pharmacy 404,12400 Hwy 71 West,Austin,TRAVIS,100
Heb Pharmacy 425,1000 E 41st Street,Austin,TRAVIS,100
Heb Pharmacy 428,6900 Brodie Ln,Austin,TRAVIS,100
HEB Pharmacy 45,2400 S Congress Ave,Austin,TRAVIS,100
Heb Pharmacy 451,7301 North Fm 620,Austin,TRAVIS,100
HEB Pharmacy 465,2701 E 7th St,Austin,TRAVIS,100
HEB Pharmacy 476,500 Canyon Ridge Dr,Austin,TRAVIS,100
HEB Pharmacy 639,1801 East 51st St,Austin,TRAVIS,100
Heb Pharmacy 659,14028 North Us 183,Austin,TRAVIS,100
HEB Pharmacy 68,5800 W Slaughter Ln,Austin,TRAVIS,100
HEB Pharmacy 710,8801 South Congress Ave,Austin,TRAVIS,100
HEB Pharmacy 714,2000 Ranch Road 620 S Ste A,Austin,TRAVIS,100
HEB Pharmacy 773,"1601 Trinity St, Bldg A, Suite 105",Austin,TRAVIS,100
HEB Pharmacy 91,2508 E Riverside Dr,Austin,TRAVIS,100
HEB Pharmacy 96,7025 Village Center Dr,Austin,TRAVIS,100
Jose F Santiago M D,2624 W. William Cannon Dr.,Austin,TRAVIS,400
"Margolin And Keinarth Md, Pa",5222 Burnet Road,Austin,TRAVIS,500
Tarrytown Pharmacy,2727 Exposition Blvd,Austin,TRAVIS,500
Texas Department Of Public Safety,5805 N Lamar Blvd,Austin,TRAVIS,200
"University Health Services, UT-Austin",100 W. Dean Keeton,Austin,TRAVIS,200
Vaccine Machine,4501 Spicewood Sprigs Rd,Austin,TRAVIS,100
We Are Blood,4300 N Lamar Blvd,Austin,TRAVIS,200
Austin Regional Clinic - Bee Cave,15801 W Highway 71 Bldg 1,Bee Cave,TRAVIS,500
Austin Regional Clinic - Manor,11300 Us Highway 290 E Ste 230 Bldg 2,Manor,TRAVIS,500
Austin Regional Clinic - Kelly Lane,2100 Autumn Slate Dr Ste 150,Pflugerville,TRAVIS,500
Austin Regional Clinic - Pflugerville,15803 Windermere Dr Ste 103,Pflugerville,TRAVIS,500
Heb Pharmacy 236,1434 W Wells Branch Pkwy,Pflugerville,TRAVIS,100
HEB Pharmacy 479,201 Fm 685,Pflugerville,TRAVIS,100
Brookshires Pharmacy 62,520 W 1st St,Groveton,TRINITY,100
Brookshires Pharmacy 23 - Trinity,515 S Robb St,Trinity,TRINITY,300
Brookshires Pharmacy 18,520 S Magnolia St,Woodville,TYLER,400
Mccamey Hospital,2500 S Highway 305,McCamey,UPTON,100
Heb Pharmacy 441,227 E Main St,Uvalde,UVALDE,100
Our Health,200 Evans St,Uvalde,UVALDE,100
Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,400
Heb Pharmacy 418,200 Veterans Blvd,Del Rio,VAL VERDE,100
Val Verde Rural Health Clinic,1801 N. Bedell,Del Rio,VAL VERDE,500
Brookshires Pharmacy 032,880 E State Highway 243,Canton,VAN ZANDT,100
Christus Trinity Clinic Of Canton,18780 I20 Service Road,Canton,VAN ZANDT,500
Brookshires Pharmacy 033,205 W Frank St,Grand Saline,VAN ZANDT,100
Brookshires Pharmacy 002,706 W Main St,Van,VAN ZANDT,100
Brookshire's Pharmacy #019,1105 W South Commerce St,Wills Point,VAN ZANDT,100
DeTar Healtcare System,506 E. San Antonio,Victoria,VICTORIA,1000
HEB Pharmacy 554,1505 E Rio Grande,Victoria,VICTORIA,100
HEB Pharmacy 92,6106 N. Navarro,Victoria,VICTORIA,100
Victoria County Public Health Department,2805 N Navarro,Victoria,VICTORIA,100
Victoria Fire Department,1703 E. Airline,Victoria,VICTORIA,200
Brookshires Pharmacy 33 - Huntsville,2601 11th St,Huntsville,WALKER,400
HEB Pharmacy 728,1702 11th St,Huntsville,WALKER,100
Huntsville Family Medicine - Huntsville 2,123 Medical Park Ln Ste A,Huntsville,WALKER,300
Texas Department of Criminal Justice ESTELLE,264 FM 3478,Huntsville,WALKER,200
Brookshires Pharmacy 40,3523 1/2 Front St,Brookshire,WALLER,300
Brookshires Pharmacy 61 - Hempstead,300 Bus Hwy 290 E,Hempstead,WALLER,500
Monahans Pharmacy Inc.,801 E 4th St,Monahans,WARD,100
Brookshires Pharmacy 11 - Brenham,303 N Austin Pkwy,Brenham,WASHINGTON,300
Heb Pharmacy 414,2508 S Day St,Brenham,WASHINGTON,100
City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,300
HEALTHVILLE PHARMACY,7215 MCPHERSON RD,Laredo,WEBB,100
HEB Pharmacy 186,2310 E Saunders,Laredo,WEBB,100
HEB Pharmacy 207,1301 Guadalupe St,Laredo,WEBB,100
Heb Pharmacy 255,4801 San Dario,Laredo,WEBB,100
Heb Pharmacy 449,7811 Mcpherson Rd,Laredo,WEBB,100
HEB Pharmacy 570,210 W Del Mar Blvd,Laredo,WEBB,100
HEB Pharmacy 586,2314 S Zapata Hwy,Laredo,WEBB,100
Heb Pharmacy 95,1911 East Bob Bullock,Laredo,WEBB,300
Laredo Emergency Room,7510 Mcpherson Rd,Laredo,WEBB,2500
Laredo Regional Medical Center,10700 Mcpherson Rd,Laredo,WEBB,1000
