Provider Name,Address,City,County,Doses
Friona Rural Health Clinic,1307 Cleveland Ave Ste B,Friona,PARMER,100
Texas Department of Criminal Justice Polunsky,3872 FM 350 South,Livingston,POLK,100
Amigos Pharmacy 524,3300 I-40 East,Amarillo,POTTER,100
Care Express Georgia,2701 S Georgia,Amarillo,POTTER,300
Family Care Clinic Of Bushland,1600 S Fm 2381,Amarillo,POTTER,100
LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,1000
Texas Tech Family Medicine,1400 S Coulter St # 5100,Amarillo,POTTER,400
United Pharmacy 527,1501 E Amarillo Blvd,Amarillo,POTTER,100
Presidio County Medical Clinic,1501 N. Erma,Presidio,PRESIDIO,100
United Pharmacy 522,4701 S Washington St,Amarillo,RANDALL,200
United Pharmacy 529,5807 Sw 45th Ave Ste 100,Amarillo,RANDALL,100
United Pharmacy 530,3553 South Soncy,Amarillo,RANDALL,100
Walgreens Pharmacy 05612,3320 Bell St,Amarillo,RANDALL,100
Walgreens Pharmacy 05613,5921 Hillside Rd,Amarillo,RANDALL,100
Walgreens Pharmacy 06501,2601 S Greorgia,Amarillo,RANDALL,100
Walgreens Pharmacy 13010,2205 Se 34th Ave,Amarillo,RANDALL,100
United Pharmacy 532,201 N 23rd St,Canyon,RANDALL,100
Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,300
St Joseph Family Medicine Hearne,1643 N Market St,Hearne,ROBERTSON,100
Kroger Pharmacy 574,1950 N Goliad St,Rockwall,ROCKWALL,100
Kroger Pharmacy 575,2935 Ridge Rd,Rockwall,ROCKWALL,100
Ridge Road Medical Center,2306 Ridge Rd,Rockwall,ROCKWALL,100
Walgreens Pharmacy 05827,2911 Ridge Rd,Rockwall,ROCKWALL,100
Walgreens Pharmacy 11519,2007 N Goliad St,Rockwall,ROCKWALL,100
William J Fieldsmith MD PA,2313 Ridge Rd STE 102,Rockwall,ROCKWALL,200
Tom Thumb Pharmacy 1925,8805 Lakeview Pkwy,Rowlett,ROCKWALL,100
Walgreens Pharmacy 04818,8801 Lakeview Pkwy,Rowlett,ROCKWALL,100
DSHS Ballinger,2017 Hutchins Avenue,Ballinger,RUNNELS,100
Kroger Pharmacy 490,2415 Us Highway 79 S,Henderson,RUSK,100
Texas Department of Criminal Justice EAST TX ISF,900 Industrial Drive,Henderson,RUSK,100
Trinity Clinic Family Practice Henderson,105 Zeid Blvd # 2,Henderson,RUSK,100
Walgreens Pharmacy 11212,2126 Us Highway 79 S,Henderson,RUSK,100
Brookshires Pharmacy 56,420 N Hill St,Tatum,RUSK,100
Hope Community Medicine-San Augustine,109 E Main St,San Augustine,SAN AUGUSTINE,100
Memorial Medical Center-San Augustine,511 EAST HOSPITAL STREET,San Augustine,SAN AUGUSTINE,100
Providence Family Care,21 Alpine St,Coldspring,SAN JACINTO,500
Heb Pharmacy 333,101 E Goodnight Ave,Aransas Pass,SAN PATRICIO,100
HEB Pharmacy 488,1600 Wildcat Dr,Portland,SAN PATRICIO,100
Taft Family Health Center,1210 Gregory St Ste 2,Taft,SAN PATRICIO,100
United Pharmacy 549,3500 College Ave,Snyder,SCURRY,100
"Aurora Concepts, PLLC",233 Hurst Street,Center,SHELBY,100
Hope Community Medicine-Center,620 Tenaha St,Center,SHELBY,100
Christus Trinity Clinic Lindale,3203 S Main St,Lindale,SMITH,300
Christus Mother Frances Hospital - Tyler,800 E Dawson,Tyler,SMITH,100
DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,Tyler,SMITH,100
Fresh By Brookshires Pharmacy 801,6991 Old Jacksonville Hwy,Tyler,SMITH,100
Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,1000
Tyler Complete Care,1809 Capital Dr,Tyler,SMITH,200
UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,1000
HEB Pharmacy 013,4031 E Us Highway 83,Rio Grande City,STARR,100
Linos Pharmacy 2,201 N Fm 3167 Ste 101-102,Rio Grande City,STARR,100
Breckenridge Medical Center,101 S. Hartford,Breckenridge,STEPHENS,100
Texas Department of Criminal Justice SAYLE,4176 FM 1800,Breckenridge,STEPHENS,100
Arlington Fire Department,620 W Division St.,Arlington,TARRANT,500
Family Health Clinic Arlington,1115 E Pioneer Pkwy,Arlington,TARRANT,100
Kroger Pharmacy 445,5330 S Cooper St,Arlington,TARRANT,100
Kroger Pharmacy 592,5101 W Sublett Rd,Arlington,TARRANT,100
Kroger Pharmacy 688,301 S Bowen Rd,Arlington,TARRANT,100
Mercy Care Pharmacy,801 Road To Six Flags W Ste 122,Arlington,TARRANT,100
PrimeCare Family Practice,1001 N. Waldrop Dr.,Arlington,TARRANT,100
Savon 4142,301 Sw Plaza Shopping Ctr.,Arlington,TARRANT,200
Savon 4163,5950 South Cooper St,Arlington,TARRANT,200
Tom Thumb Pharmacy 3617,2611 W Park Row Dr,Arlington,TARRANT,100
Jps Nw Health Center,401 Stribling Dr.,Azle,TARRANT,500
Savon 4290,480 Northwest Pkwy,Azle,TARRANT,100
Kroger Pharmacy 521,2109 Harwood Rd,Bedford,TARRANT,100
Texas Health Huguley Hospital - Fort Worth South,11801 South Fwy,Burleson,TARRANT,3225
Market Street Pharmacy 560,5605 Colleyville Blvd,Colleyville,TARRANT,100
Jps Northeast Chc,3200 W Euless Blvd,Euless,TARRANT,200
STAR WELLNESS,451 Westpark Way Ste 1,Euless,TARRANT,300
Best Value Ridglea Pharmacy,5932 Lovell Ave,Fort Worth,TARRANT,100
Clinica Mi Doctor #6,229 Ne 28th St,Fort Worth,TARRANT,100
Jps Diamond Hill Jarvis,3308 Deen Rd,Fort Worth,TARRANT,500
JPS Health Connect,1400 South Main Street,Fort Worth,TARRANT,100
Jps Hospital,1500 South Main St,Fort Worth,TARRANT,6025
Jps Polytechnic Health Center,1650 S Beach St,Fort Worth,TARRANT,500
Jps South Campus Clinic,2500 Circle Dr,Fort Worth,TARRANT,300
Jps Watauga Gertrude Tarpley Chc,6601 Watauga Rd Ste 124,Fort Worth,TARRANT,300
Kroger Pharmacy 439,9114 Camp Bowie West Blvd,Fort Worth,TARRANT,100
Kroger Pharmacy 520,3120 S University Dr,Fort Worth,TARRANT,100
Kroger Pharmacy 532,5241 North Tarrant Pkwy,Fort Worth,TARRANT,100
La Gran Plaza Health Center,1101 S. Main St.,Fort Worth,TARRANT,100
Md Family Clinic - Fort Worth,1200 Woodhaven Blvd,Fort Worth,TARRANT,300
Perrone Pharmacy,3921 Benbrook Highway,Fort Worth,TARRANT,200
Savon 4272,850 E Loop 820,Fort Worth,TARRANT,200
Savon 4286,6700 West Freeway,Fort Worth,TARRANT,100
Tarrant Co Ph Bagsby,3212 Miller Ave,Fort Worth,TARRANT,100
Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,4925
Tarrant Co Ph Nw Health Ctr,3800 Adam Grubb,Fort Worth,TARRANT,100
Tarrant Co Ph Sw Health Ctr,6551 Granbury Rd,Fort Worth,TARRANT,100
Texas Health Medical Support,1100 Bridgewood,Fort Worth,TARRANT,7000
Kroger Pharmacy 817,2525 W Interstate 20,Grand Prairie,TARRANT,100
"MetHealth,PA",4045 E Belknap St Ste 12,Haltom City,TARRANT,100
Kroger Pharmacy 516,976 Keller Pkwy,Keller,TARRANT,100
Kroger Pharmacy 537,2061 Rufe Snow Dr,Keller,TARRANT,100
North Hills Family Practice Keller,300 N Rufe Snow Dr,Keller,TARRANT,200
S V LLC,967 Keller Pkwy,Keller,TARRANT,100
Tom Thumb Pharmacy 1972,980 Highway 287 N,Mansfield,TARRANT,100
Healthcare Associates of Southlake,2106 East State Hwy 114,Southlake,TARRANT,100
Kroger Pharmacy 512,2110 E Southlake Blvd,Southlake,TARRANT,100
Southlake DPS,600 State Street,Southlake,TARRANT,100
HEB Pharmacy 0070,1345 Barrow St,Abilene,TAYLOR,100
Hendrick Provider Network - Abilene 1,1210 N 18th St,Abilene,TAYLOR,300
Market Street Pharmacy 679,4450 Buffalo Gap Rd,Abilene,TAYLOR,100
Texas Cancer Center Abilene So,1957 Antilley Rd,Abilene,TAYLOR,100
Texas Department of Criminal Justice ROBERTSON,12071 FM 3522,Abilene,TAYLOR,100
United Pharmacy #548,3301 South 14th Street,Abilene,TAYLOR,100
United Pharmacy 547,920 N Willis St,Abilene,TAYLOR,200
United Pharmacy 574,2160 Pine St,Abilene,TAYLOR,100
Walgreens Pharmacy 04875,3033 S 14th St,Abilene,TAYLOR,100
Walgreens Pharmacy 07937,991 N Willis St,Abilene,TAYLOR,100
Walgreens Pharmacy 15187,1005 N Judge Ely Blvd,Abilene,TAYLOR,100
Brownfield Regional Med Ctr Rural Hlth,703 E Felt St,Brownfield,TERRY,100
Super 1 Pharmacy 611,602 S Jefferson Ave,Mount Pleasant,TITUS,100
Thurman's Pro-Med Pharmacy,402 N Madison Ave,Mount Pleasant,TITUS,100
Walgreens Pharmacy 12293,203 W Ferguson Rd,Mount Pleasant,TITUS,100
Albertsons Pharmacy 678,3121 Sunset Dr,San Angelo,TOM GREEN,100
San Angelo Health Department,2030 Pulliam St Ste 8,San Angelo,TOM GREEN,300
Austin Public Safety Wellness Center,517 S Pleasant Valley Rd,Austin,TRAVIS,200
Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,Austin,TRAVIS,500
Communitycare East Austin,211 Comal St,Austin,TRAVIS,200
Communitycare North Central,1210 W Braker Ln,Austin,TRAVIS,100
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,Austin,TRAVIS,1000
Heart Hospital Of Austin,3801 N Lamar Blvd,Austin,TRAVIS,700
Lamar Plaza Drug Store,1509 S Lamar Blvd #550,Austin,TRAVIS,200
North Austin Medical Center,12221 Mopac Exp North,Austin,TRAVIS,1675
Orthopaedic Specialists Of Austin,4611 Guadalupe St,Austin,TRAVIS,100
People's Community Clinic,2909 N Interstate 35,Austin,TRAVIS,100
People's Community Clinic - Austin 2,1101 Camino La Costa Ste 100,Austin,TRAVIS,200
Randalls Pharmacy 1779,2303 Ranch Road 620,Austin,TRAVIS,100
Randalls Pharmacy 1850,9911 Brodie Lane,Austin,TRAVIS,100
Randalls Pharmacy 2475,5311 Balcones Dr,Austin,TRAVIS,200
Randalls Pharmacy 2485,2025 W Ben White Blvd,Austin,TRAVIS,100
Randalls Pharmacy 2987,5145 N FM 620 Rd,Austin,TRAVIS,100
Refugee Services - Austin 1,1000 Toyath St,Austin,TRAVIS,100
Seton McCarthy Community Clinic,2811 E 2nd St,Austin,TRAVIS,100
Seton Medical Center Austin,1201 W 38th St,Austin,TRAVIS,1000
Shots For Tots Far South,405 W Stassney Ln,Austin,TRAVIS,100
Shots For Tots St Johns,7500 Blessing Ave,Austin,TRAVIS,100
SHUBHA LLC DBA AURO PHARMACY,1139 W Braker Ln,Austin,TRAVIS,100
South Austin Medical Center,901 W Ben White Blvd,Austin,TRAVIS,500
St Davids Medical Center,919 E 32nd St,Austin,TRAVIS,2275
St. Josef's Clinic,809 Lydia St,Austin,TRAVIS,100
Toth Enterprises Ii Victory Medical And Family Care,4303 Victory Dr,Austin,TRAVIS,100
Trinity Internal Medicine,313 E 12th St Ste 102 Ste 102,Austin,TRAVIS,100
Vik Complete Care Lakeway,1518 Ranch Rd. 620 S. Bldg. H,Austin,TRAVIS,300
Walgreens Pharmacy 01970,3407 Wells Branch Pkwy,Austin,TRAVIS,100
Wellmed Ben White,706 W. Ben White Bldg. A,Austin,TRAVIS,100
Randalls Pharmacy 3145,3441 N Lakeline Blvd,Leander,TRAVIS,100
Seton Family Of Doctors Stone Hill,1512 Town Center Dr Ste 100,Pflugerville,TRAVIS,300
Tyler County Hospital Family Medical Clinic,104 N Beech St,Woodville,TYLER,200
Divine Grace Pharmacy,1970 Us Highway 259 S,Diana,UPSHUR,300
Heb Pharmacy 441,227 E Main St,Uvalde,UVALDE,100
Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,100
Walgreens Pharmacy 13447,250 E Main St,Uvalde,UVALDE,100
Heb Pharmacy 418,200 Veterans Blvd,Del Rio,VAL VERDE,100
Val Verde Rural Health Clinic,1801 N. Bedell,Del Rio,VAL VERDE,500
Innate Medical Solution,749 N.Waldrip,Grand Saline,VAN ZANDT,200
Frank S Parma Md,2700 Citizens Plz Ste 202,Victoria,VICTORIA,100
Kroger Pharmacy 145,223 Interstate 45 S,Huntsville,WALKER,100
Monahans Pharmacy Inc.,801 E 4th St,Monahans,WARD,100
Brenham Drug Partners,2105 S Day Street,Brenham,WASHINGTON,100
Brookshires Pharmacy 11 - Brenham,303 N Austin Pkwy,Brenham,WASHINGTON,100
Heb Pharmacy 414,2508 S Day St,Brenham,WASHINGTON,100
Txdads Brenham State Supported Living Center,4001 Highway 36 S,Brenham,WASHINGTON,400
Walgreens Pharmacy 10944,2411 S Ray St,Brenham,WASHINGTON,100
City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,500
Gateway Hlth Comm Ctr Inc,2007 S Zapata Hwy,Laredo,WEBB,100
TXAM International University Student Hlth Ser,5201 University Blvd,Laredo,WEBB,100
HEB Pharmacy 584,306 N Mechanic St,El Campo,WHARTON,100
Walgreens Pharmacy 09739,203 N Mechanic St,El Campo,WHARTON,100
Heb Pharmacy 233,1616 N Alabama Rd,Wharton,WHARTON,100
United Pharmacy 515,311 South Ave D.,Burkburnett,WICHITA,100
Texas Department of Criminal Justice Allred,2101 FM 369 N,Iowa Park,WICHITA,100
Harvest Drug And Gift - Wichita Falls - 4426 Kell Blvd,4426 Kell Blvd,Wichita Falls,WICHITA,300
Myrna C De Asis Md,1819 10th St,Wichita Falls,WICHITA,100
North Central Texas Comunity Healthcare Center,200 MLK JR BLVD,Wichita Falls,WICHITA,100
Texoma Cancer Center,5400 Kell Blvd,Wichita Falls,WICHITA,100
United Pharmacy 516,4516 Old Jacksboro Hwy,Wichita Falls,WICHITA,100
United Pharmacy 521,2522 Iowa Park Road,Wichita Falls,WICHITA,100
DSHS Vernon,1531 Cumberland St,Vernon,WILBARGER,100
Family Pharmacy,1720 Hillcrest Dr,Vernon,WILBARGER,100
United Pharmacy 513,3000 Wilbarger St,Vernon,WILBARGER,100
Dshs raymondville,174 s. 13 th,Raymondville,WILLACY,100
Texas Department of Criminal Justice Willacy,1695 S. Buffalo Dr.,Raymondville,WILLACY,100
Randalls Pharmacy 1896,1400 Cypress Crk Rd,Cedar Park,WILLIAMSON,100
Ascension Medical Group Georgetown,3721 Williams Drive,Georgetown,WILLIAMSON,100
Georgetown Family Emergency Room,1210 W. University Ave.,Georgetown,WILLIAMSON,200
Randalls Pharmacy 2484,5721 Williams Dr,Georgetown,WILLIAMSON,100
St Davids Georgetown Hospital Pharmacy,2000 Scenic Dr,Georgetown,WILLIAMSON,600
Wcchd Georgetown,100 W 3rd St,Georgetown,WILLIAMSON,100
Austin Regional Clinic - Leander,901 Crystal Falls Pkwy Ste 103,Leander,WILLIAMSON,500
Family Medicine Assoc Of Round Rock,7200 Wyoming Springs Dr Ste 600,Round Rock,WILLIAMSON,300
Randalls Pharmacy 2636,2051 Gattis School Rd,Round Rock,WILLIAMSON,100
Round Rock Family Emergency Center,1925 A.W Grimes Blvd,Round Rock,WILLIAMSON,100
Round Rock Medical Center,2400 Round Rock Ave,Round Rock,WILLIAMSON,975
St Davids Surgical Hospital,1201 W Louis Henna Blvd,Round Rock,WILLIAMSON,700
Texas Cancer Center Seton Wm,301 Seton Pkwy Ste 104,Round Rock,WILLIAMSON,200
Wcchd Taylor,115 W 6th St,Taylor,WILLIAMSON,100
Connally Memorial Family Practice - Floresville 1,6511 Us Highway 181 N Ste A,Floresville,WILSON,100
Connally Memorial Family Practice - Floresville 2,497 10th St Ste 101,Floresville,WILSON,100
Wilson Community Health Center,540 10th St Ste 140,Floresville,WILSON,100
Winkler County Rural Health Clinic,828 Myer Ln,Kermit,WINKLER,200
Wise Health Clinic - Boyd,133 N Fm 730 Unit 105,Boyd,WISE,100
Brookshires Pharmacy 005,1203 Us Highway 380,Bridgeport,WISE,100
Best Value Renshaw Pharmacy,800 Medical Center Dr Ste A,Decatur,WISE,200
Rhome Pharmacy,400 S Main St,Rhome,WISE,100
Brookshire's Pharmacy 015,1478 N Beaulah St,Hawkins,WOOD,100
Brookshires Pharmacy 031,1224 N Pacific St,Mineola,WOOD,100
Trinity Clinic Mineola,1302 N Pacific St,Mineola,WOOD,100
Brookshires Pharmacy 60,Po Box 934,Quitman,WOOD,100
"Graham Heath Care, Pllc",1005 State Highway 16 S,Graham,YOUNG,100
United Pharmacy 520,1229 State Highway 16 S,Graham,YOUNG,100
